	Archaea	Bacteria	Eukaryotes	Viruses
M_mean	0.025091198760950485	0.02514498758105628	0.02683192887676277	0.024288702923500643
W_mean	0.008271716836498202	0.010996280458616092	0.013892461489469638	0.01469235199536625
C_mean	0.010120921185582759	0.010297443809509253	0.019124018069621752	0.019548710223824373
D_mean	0.06273131657173854	0.056970858239835095	0.051702249009616306	0.05300703072780497
E_mean	0.08117237463240214	0.06668709047895438	0.05803647775689045	0.05715741760206657
F_mean	0.030508092489721236	0.03723289093230466	0.04304067596734179	0.04046522016597806
H_mean	0.018712179193930055	0.021796309331351973	0.023980529457444392	0.022559888011963798
K_mean	0.06510281022994603	0.057437110263266374	0.05768151679465208	0.057982402764604445
N_mean	0.03354499342676947	0.03636217246324959	0.04250324491138723	0.04628688413032409
Q_mean	0.022557825256765338	0.035144284187171304	0.038112507939331096	0.038634273329397034
Y_mean	0.033474088977101704	0.028483332189594167	0.032341028102894784	0.035483468354571994
I_mean	0.07503403187431033	0.06064858460557418	0.05447723823826151	0.057094490584629266
A_mean	0.07441368194986213	0.09531853890202792	0.07759394942402674	0.06830138389412145
G_mean	0.07709737002541234	0.07713760487195599	0.06730732360393606	0.06244728470375158
P_mean	0.04305588453424753	0.04437178170539998	0.050450508641086245	0.05126892429517012
T_mean	0.04863895267169333	0.05183498728245538	0.05682886716182835	0.06276678726164174
V_mean	0.08638329349345654	0.07411026459930406	0.06499720266908147	0.06496133958215919
L_mean	0.08831862266328949	0.09501556157892412	0.09672287518039191	0.09112610037044183
R_mean	0.06137488196463408	0.060915079585944366	0.05002777467465571	0.05758382775647691
S_mean	0.05439113107474937	0.05409305054851288	0.07427899204578281	0.07431460641637819
M_std	0.005925143399512727	0.006775536013066437	0.010547237513468805	0.007669161130719835
W_std	0.004691316775346867	0.006270185651811415	0.006185226849747444	0.0069466339831534656
C_std	0.0044707544176366635	0.007567729763744699	0.01630476831062471	0.010235091793979302
D_std	0.0179985909635772	0.011059848384680037	0.013463861084610226	0.012219525611730628
E_std	0.011195324905806877	0.014360312687171469	0.016461758791285936	0.01628041170955708
F_std	0.007938323569540738	0.010883007209382149	0.010356597716616485	0.0116705448897694
H_std	0.005681131097340885	0.006831401829901039	0.008238753449735155	0.0083707044548307
K_std	0.025567923242480344	0.026869783884722567	0.019445334288665014	0.020395134349560622
N_std	0.010524087183493184	0.014998945982239019	0.013999927600594987	0.01489882982370554
Q_std	0.006233470083625597	0.010549750340194786	0.011625341870738583	0.011582189284302626
Y_std	0.008939114513836636	0.009279530380997039	0.008204807169924845	0.010404603773726555
I_std	0.020664047019608677	0.020227786993904595	0.015074131207952462	0.018822574733549053
A_std	0.020771801542823494	0.027847678307456276	0.019749379041775778	0.021919881703488887
G_std	0.011737090637933918	0.014437884816148326	0.020065793420174352	0.015947506704189953
P_std	0.008201572382532035	0.012846957831574067	0.013662573824842494	0.020869435569261106
T_std	0.010222639566443818	0.009447838008914897	0.011365068131308423	0.013253332976661794
V_std	0.014845595879921661	0.013437742627431214	0.01125722836501703	0.015671656589133047
L_std	0.01267637623863778	0.01611143998304968	0.02396270042532437	0.01580796244679
R_std	0.016955553591889237	0.018889646740736336	0.017054215127122355	0.01919542323707451
S_std	0.012513451032828997	0.011963272560407296	0.014690084232523324	0.016752446918702514
