Proteome_ID	codon_pear	p_codon_pear	codon_spear	p_codon_spear	codon_log_mse	gc_pear	p_gc_pear	gc_spear	p_gc_spear	gc_log_mse	shannon_entropy
UP000008323	0.4551075672725099	0.04376988903052913	0.5799539190217214	0.007352318672674825	0.6426711452614899	0.6815794907944374	0.0009350472818968228	0.5585258394241905	0.010478765535562267	0.5009934557423373	4.056599034658826
UP000002535	0.6826711714879758	0.0009106936040318003	0.6666685653500721	0.0013268147172800437	0.3906871014525046	0.7052051155342438	0.0005149341543541953	0.6339611165087674	0.002685410692237191	0.39800042810881686	4.126349290326804
UP000001961	0.7865050573558872	3.913202911622231e-05	0.7867961946673284	3.869882270663346e-05	0.283941092795306	0.7936852602068721	2.9587458755455065e-05	0.7817837806947061	4.67653056809763e-05	0.3219192251612279	4.075463113145449
UP000000815	0.7266989757771751	0.0002843715311721267	0.725539059187668	0.0002940330911806516	0.3263811037217763	0.7274762135912811	0.00027805020718580975	0.6629160713493121	0.0014446657625023784	0.316948892088065	4.131406923712268
UP000000425	0.6384791702297989	0.0024477121150673032	0.6953082650548486	0.0006655428024947513	0.4113739184902725	0.639355772162743	0.0024036909331751188	0.6781555212653883	0.0010150280113903885	0.4773484077822013	4.093582329077577
UP000010481	0.3676127199844222	0.11080675645655078	0.5664296163833549	0.009219726589969925	0.6590374496997438	0.32421312980851186	0.16314405328699108	0.5112835446843546	0.02121906262224672	0.660544749601522	4.14237836107003
UP000002194	0.6854119322233361	0.0008519004044633652	0.7080370204791935	0.00047759069708705113	0.3118276064788694	0.7101319000745971	0.0004514700582312985	0.6453907039458245	0.002118199248572626	0.6216274115991213	3.9596955349998053
UP000010378	0.5344162617107275	0.015204835745667812	0.4834767248632621	0.030798549792937214	0.5918796052482858	0.7887535530587305	3.589236211202796e-05	0.664308817211159	0.0013999391384221182	0.3719493118809337	4.106114861739992
UP000001168	0.566479315045691	0.009212218798841406	0.6491665266415977	0.001954436714463721	0.4923994517778832	0.5689684030333718	0.008842518813943824	0.6156737766094762	0.003853132093138564	0.4452780189579871	4.142809834255817
UP000000430	0.6527767412346205	0.0018079007890808877	0.6523487154976839	0.0018247777079946504	0.3937886661913985	0.6437519815131367	0.002192759285691089	0.6255794190549256	0.003177379312106043	0.36260220711356733	4.145228204641787
UP000001054	0.7330666466326027	0.00023601500106363123	0.7796362697411344	5.064189749187476e-05	0.3224714046740248	0.7493128417206091	0.0001431958514133547	0.7566386883331806	0.00011291621333813402	0.5193264123554806	4.002085230287909
UP000008561	0.6321219840708564	0.0027875251475303585	0.6961038122688701	0.0006521962527073584	0.44537541843659867	0.6323042302738727	0.00277726411579737	0.6065301066598304	0.004578606513971359	0.6692540752406541	4.028637347736077
UP000008898	0.3429326040141188	0.1388173948918213	0.3595873407377477	0.11942412492109569	0.6917172303686535	0.37256572275385297	0.1057175592535284	0.42137079017950535	0.06426542683126281	0.6107332083555168	4.145572880042514
UP000008204	0.7122940671273739	0.0004257940718352865	0.7398589090400561	0.00019235573066220772	0.3358873096268327	0.7132870946365851	0.0004144246027364493	0.7086344210975406	0.0004700142142457105	0.30980685945790204	4.145315340469556
UP000001946	0.5958114068741822	0.005569090084324214	0.6618952820659427	0.0014782044585891826	0.465393283017103	0.5969379797960249	0.005457348078585073	0.6232935015675142	0.0033238386326105273	0.4537443368149644	4.129923667789353
UP000017700	0.706407344639045	0.0004987886776551666	0.6213223741508428	0.0034545898828267432	0.48236929219642055	0.722751454293764	0.0003184045485383709	0.5059497372137279	0.022843199970790037	0.4699857052990109	4.136156575132048
UP000002084	0.7082884035144348	0.00047439000328727165	0.7175835870474524	0.0003681594641574385	0.3353552529132674	0.7042523521610231	0.0005280425947419027	0.7170161185513826	0.0003740056052102974	0.38478496821223096	4.09602245271284
UP000065734	0.6843920481282253	0.0008733919294798907	0.7428476484473521	0.00017545603597605048	0.3417100562409604	0.7181555802903685	0.00036234563923062815	0.6580584080168136	0.0016101769123614688	0.637471422022623	3.9457256029803927
UP000001191	0.7153580439157786	0.000391542325683768	0.7494054756083148	0.00014277341231520526	0.3466620374203443	0.707489094680551	0.00048463070909906245	0.7170161185513826	0.0003740056052102974	0.3301959299394312	4.144594547345254
UP000002186	0.7154098613129934	0.0003909838696825972	0.7406544562540778	0.00018772679104159042	0.4220138152613102	0.7277386233873337	0.0002759432733717237	0.7368274034422815	0.00021090125408254246	0.8909884094785022	3.777398822791605
UP000254519	0.38447152795653694	0.09418046076987852	0.5415832585507222	0.013649690635818902	0.8952064754829412	0.33646599036103464	0.14691261149229293	0.5297877406258108	0.016282640048782448	0.8839658049671387	4.145573718669424
UP000001688	0.6848125762056659	0.000864475503466427	0.7048548316231072	0.0005197209829411341	0.35320592955981917	0.6842500358213507	0.0008764205001610625	0.6911090536940531	0.0007398894415343077	0.3622001792932065	4.119697459153974
UP000001430	0.5933204863101181	0.005822852661648052	0.5887049383759586	0.006318189042823954	0.4820035520827619	0.7084273697404623	0.00047262847469506933	0.6568202913828817	0.0016548162357412242	0.4531859615699232	4.094715216017835
UP000029482	0.6972222941408375	0.0006338159616139671	0.7453560989598829	0.00016226947577948123	0.668228701985433	0.6760118686641482	0.0010679804895333967	0.705123720991816	0.0005160431047528109	1.2151684324309129	3.7421276676366975
UP000889800	0.7501973662589078	0.00013920554558031283	0.7716807976009188	6.751874901358187e-05	0.30875449521575515	0.7476327708657328	0.00015104562329868276	0.7749260282324717	6.012665100467567e-05	0.3730627107942834	4.061924583128713
UP000002384	0.7105575109800774	0.0004463144175851131	0.7136058509773444	0.0004108302757537044	0.34619891776653205	0.7023303288323675	0.000555350372078744	0.6987287786520912	0.0006097548120941157	0.33522023967079034	4.145052136332354
UP000002417	0.6518858206519363	0.0018431778354953742	0.7167880398334309	0.00037637747246214	0.4588409097491284	0.697037781139356	0.0006368175099098447	0.6324371715171598	0.002769798964681886	0.9766340516506657	3.8568993336260657
UP000000817	0.49658181813024427	0.02593299864868493	0.5648385219553117	0.00946273295802206	0.6055905867182256	0.5432850335018456	0.013299957067300097	0.5387145545332916	0.014255992355709358	0.514997380810712	4.134598773946793
UP000001566	0.7662374287774464	8.167904791836298e-05	0.7915694779514579	3.216395309057225e-05	0.28958592705770847	0.7673926022048656	7.847760449711965e-05	0.7734020832408642	6.350609326059346e-05	0.4544477958288938	3.991735869061687
UP000000562	0.2797070429641057	0.23233429876290632	0.44868862870816306	0.04721679299028493	0.7746984062690334	0.7890028148586119	3.5547920699965754e-05	0.678917493761192	0.0009967474367239258	0.5474904958007603	3.933182283627884
UP000000585	0.5428876088691397	0.013380978083305876	0.5664296163833549	0.009219726589969925	0.6035848368379205	0.5823405878863374	0.00705745282201204	0.5790990968108934	0.007460349971140126	0.5091830225736628	4.144040264102824
UP000001020	0.7196012816666042	0.0003479987326568876	0.8154358943721048	1.1821036335521644e-05	0.34024856985995633	0.7755827796399538	5.871875962272306e-05	0.7787358907114909	5.23478533594605e-05	0.52544239458317	3.9085027554570564
UP000000594	0.4834095127993953	0.030825224961452152	0.5704073524534626	0.008634370340927153	0.5602576361442183	0.5486567283582928	0.01224314475950553	0.5836709317857162	0.006897343473675734	0.47241067143680715	4.123688974206514
UP000000586	0.5416455788282516	0.013636753723962445	0.5664296163833549	0.009219726589969925	0.6051505796423753	0.5808880037679918	0.007235737434422521	0.5722413443486591	0.008374886351277781	0.5105875016072927	4.1441955379575806
UP000037395	0.7419572867093647	0.0001803520619579457	0.7869903657591598	3.8412207773709076e-05	0.3711768671927576	0.7917043476771244	3.1994117537606085e-05	0.7960980808004011	2.686882746822888e-05	0.880939856655733	3.7296354367853604
UP000001174	0.49309943031745934	0.02716221296182736	0.5274478028962981	0.016850365621762994	0.5540590178406253	0.6087714171492273	0.004391114684518842	0.6118639141304572	0.0041428772457396115	0.4609051432097422	4.101619682125348
UP000061569	0.6911971815207983	0.0007382598833658844	0.7899783835234149	3.4227145446244684e-05	0.46434873891345496	0.731346870838895	0.00024832454938637403	0.7474950183835347	0.0001517052883200663	0.8194336779525739	3.8102732815389553
UP000002516	0.770562416701844	7.024132584171503e-05	0.797138308449609	2.5765157936458404e-05	0.2688920964615824	0.7781063023015117	5.356997468913688e-05	0.7947373131233707	2.8374164613419473e-05	0.28543026176367026	4.10505877207742
UP000001584	0.7192030241296052	0.00035190181111615764	0.8154358943721048	1.1821036335521644e-05	0.33677520506117864	0.7801783938917367	4.9638034286924606e-05	0.7787358907114909	5.23478533594605e-05	0.5196023592657071	3.906422326716778
UP000001962	0.692585667815023	0.0007129836689388604	0.754974306106466	0.00011926249989548136	0.3865077022875812	0.7383000716017871	0.00020170966155226528	0.7467330458877308	0.00015539898348989448	0.8208908490966056	3.8589744846480856
UP000000579	0.6159601779677194	0.003832047482334192	0.5751806357375919	0.007972313044456218	0.3995766811762307	0.6931168475311105	0.0007035097158757393	0.5821469867941087	0.00708100472332059	0.3277177273997047	4.130429285686008
UP000002357	0.7070317220040885	0.0004905745774939547	0.714401398191366	0.00040197511017066393	0.7232133521206622	0.7912137871463591	3.2615601518960217e-05	0.8191204329890925	1.0001557743231387e-05	0.6903003321050339	3.7464404174230257
UP000002521	0.3433079084868385	0.1383574164610878	0.4439153454240337	0.04991230192825281	0.8367743984988808	0.5743822066017467	0.008080070085000932	0.5021398747347089	0.0240624809634976	0.7286368981312783	4.024117495218955
UP000069205	0.3771825138654515	0.10112832367353382	0.3168831672100769	0.17342334452365957	7.487348045871519	0.573834836575079	0.008154628776031705	0.40840752362808824	0.07381664543057166	8.867978045192789	3.950069275117113
UP000000558	0.714869927375973	0.00039683634998561305	0.738267814612013	0.00020190725843107955	0.32362129174256327	0.7100640901143512	0.00045229613193295364	0.7231118985178129	0.00031515946263019963	0.34675913427893396	4.112778592665768
UP000035170	0.49316810472936207	0.027137536714976512	0.5989162235167386	0.005265598943156324	0.7348443162768176	0.6130963911667564	0.0040472375444883055	0.5403688631374945	0.013903764720256225	1.1455806452708637	3.913565977391768
UP000001010	0.7011762261000745	0.0005723163841914195	0.7716807976009188	6.751874901358187e-05	0.3624860092061789	0.7342494627851551	0.00022785477301060961	0.758924605820592	0.00010467393258487776	0.7005529959373634	3.9029928166770436
