	code_spearman	code_p_spearman	code_kendall	code_p_kendall	gc_spearman	gc_p_spearman	gc_kendall	gc_p_kendall
PTN	0.6372925572407555	0.015126072607260725	0.5037794699421442	0.018104300003431623	0.6540106657671803	0.0031689768976897693	0.48378576016447716	0.00521777362362511
EN	0.5702151954623383	0.027823762376237623	0.44501810425751936	0.02918729741300368	0.5985909994269389	0.009743234323432343	0.43758688948452734	0.011321708263673532
MN	0.5873964308575935	0.021838283828382835	0.46589325911928786	0.02407458374138674	0.6173992901399122	0.007713531353135314	0.4535172671085119	0.009290094677662323
EFM	0.5572814229291371	0.03964521452145214	0.43431224901786136	0.0374959571505313	0.5377428868964068	0.03849339933993399	0.39013136828457345	0.03752191397609247
AM	0.5403318686546509	0.054341584158415834	0.422919212276423	0.049769439138619476	0.5609376127249082	0.0166006600660066	0.41213075909002295	0.022515699389914774
IM	0.5486733124229763	0.03163630363036304	0.42124347575600707	0.0365802311025979	0.5549152238712812	0.017858415841584156	0.3951095053020987	0.028366570592565116
YM	0.3711327301203292	0.20763531353135314	0.2776449449616823	0.22670335684858603	0.39921642696992604	0.10577920792079207	0.2798752834228933	0.13711393202462957
SGCode	0.6394117559484725	0.012602970297029704	0.5113162667114433	0.013991430065301862	0.6511936456276202	0.003372937293729373	0.4857632691709716	0.005218477314014579
AY	0.6290987627917035	0.01385082508250825	0.4925043705989714	0.015731302751585415	0.6409666204029759	0.003999009900990099	0.47416034141692787	0.006487612877880564
BN	0.6852774976924277	0.009595709570957097	0.533852931927926	0.012854801191050416	0.6820832539256624	0.0023079207920792075	0.4956495208950143	0.00576625846068329
AFM	0.545803522744011	0.04411914191419142	0.4282362215650729	0.03929972856212998	0.5237788701003945	0.050008250825082506	0.37431315179787583	0.05117205529549376
CDHN	0.6023058723124539	0.02275049504950495	0.4786055602878781	0.02230099988445538	0.6208429430403964	0.006621452145214523	0.45888993269573547	0.007967489678231833
SOM	0.6475001535092169	0.011655775577557755	0.5191414960491612	0.012762458969434612	0.657091907124652	0.0031580858085808582	0.49246870682756244	0.004544984638454328
KN	0.5230188034189567	0.05431815181518152	0.4101564580712546	0.05791322132739257	0.5803292810197915	0.01565478547854785	0.4189544497579734	0.017643103400085812
CMUT	0.6020658844634712	0.012574587458745876	0.4691284648127575	0.015810654530877065	0.5958863388511173	0.009687788778877889	0.4336634500867988	0.016121948500689667
CN	0.5230188034189567	0.05431815181518152	0.4101564580712546	0.05791322132739257	0.6055800271768789	0.008673267326732674	0.44060169375177755	0.011081867909534832
RM	0.5975745687226873	0.01471089108910891	0.45941421060326093	0.01935952852271888	0.6080756115539867	0.008154455445544554	0.44285114970447625	0.01307230821199409
VM	0.5566208710922599	0.047723102310231025	0.451825188517509	0.04098466824797164	0.5553015871051821	0.02114125412541254	0.40732363614653827	0.027884352923831516
CM	0.6482101630604882	0.011073597359735973	0.5199536789389367	0.011951024579209832	0.6540099926291936	0.0032818481848184817	0.48869714341127746	0.004964988828618155
BAPP	0.6394117559484725	0.012602970297029703	0.5113162667114433	0.013991430065301862	0.6511936456276202	0.0034066006600660067	0.4857632691709716	0.005218477314014579
CDSG	0.6435537430024113	0.011337293729372937	0.5120636364875145	0.011704012050572504	0.6627736717962057	0.0025613861386138614	0.4953752651261899	0.004446490445658508
TrM	0.49246441606143226	0.09324653465346536	0.3910725308603227	0.07087438125422864	0.4728389559061399	0.09500528052805281	0.33304955094660876	0.08823525247562747
PN	0.7139020568912084	0.00556105610561056	0.5690846307016765	0.006630654424001032	0.7231750725519243	0.0009161716171617162	0.5407574092056138	0.0027007419736524035
MPCMMS	0.5990164412005481	0.02290825082508251	0.46973286801585806	0.027577588134072566	0.6120911561263112	0.007096699669966997	0.4507917489678196	0.010841997536311794
TM	0.6289268115750611	0.014529702970297029	0.4952589996791994	0.016583584930454302	0.6453424986853068	0.0038458745874587453	0.4783989296824838	0.005746002513911687
