	PTN	EN	MN	EFM	AM	IM	YM	SGCode	AY	BN	AFM	CDHN	SOM	KN	CMUT	CN	RM	VM	CM	BAPP	CDSG	TrM	PN	MPCMMS	TM
M_code	26.158726860424526	27.349715136869285	28.502894261681135	27.349715136869285	-36.49447459133664	-40.75992692231592	-45.300569726261436	26.158726860424526	26.158726860424526	29.620036538842044	28.502894261681135	27.349715136869285	26.158726860424526	29.620036538842044	28.502894261681135	29.620036538842044	-40.75992692231592	-50.14392205047016	27.349715136869285	26.158726860424526	27.349715136869285	-45.300569726261436	28.502894261681135	27.349715136869285	24.92803897476514
M_gc	36.887617003928405	36.887617003928405	36.887617003928405	36.887617003928405	-36.843482057454516	-36.843482057454516	-36.843482057454516	36.887617003928405	36.887617003928405	36.887617003928405	36.887617003928405	36.887617003928405	36.887617003928405	36.887617003928405	36.887617003928405	36.887617003928405	0.02206747323694431	-36.843482057454516	36.887617003928405	36.887617003928405	36.887617003928405	-36.843482057454516	36.887617003928405	36.887617003928405	36.887617003928405
W_code	-24.578088293453543	-22.568764288720438	-20.623228347629208	-145.13752857744086	-130.2807086636568	-137.4769808093961	-145.13752857744086	-24.578088293453543	-24.578088293453543	-137.4769808093961	-141.24645669525918	-22.568764288720438	-24.578088293453543	-137.4769808093961	-141.24645669525918	-137.4769808093961	-137.4769808093961	-153.30877953002224	-22.568764288720438	-24.578088293453543	-22.568764288720438	-145.13752857744086	-20.623228347629208	-145.13752857744086	-26.654389765010755
W_gc	-16.166987726280592	-16.166987726280592	-16.166987726280592	-122.6442962422547	-122.6442962422547	-122.6442962422547	-122.6442962422547	-16.166987726280592	-16.166987726280592	-122.6442962422547	-122.6442962422547	-16.166987726280592	-16.166987726280592	-69.40564198426765	-122.6442962422547	-69.40564198426765	-122.6442962422547	-122.6442962422547	-16.166987726280592	-16.166987726280592	-16.166987726280592	-122.6442962422547	-16.166987726280592	-122.6442962422547	-16.166987726280592
C_code	-139.4913559277395	-253.44288818368014	-131.8884557395573	-135.62859212245343	-121.34807138775952	-128.265198618627	-135.62859212245343	-139.4913559277395	-139.4913559277395	-128.265198618627	-131.8884557395573	-135.62859212245343	-139.4913559277395	-128.265198618627	-131.8884557395573	-128.265198618627	-128.265198618627	-143.48287852653522	-135.62859212245343	-139.4913559277395	-135.62859212245343	-135.62859212245343	-131.8884557395573	-135.62859212245343	-143.48287852653522
C_gc	-114.0078770153872	-216.35490826842224	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872	-114.0078770153872
D_code	53.14353868791909	53.899288063920395	54.63104539623913	53.899288063920395	56.69327060550092	55.33993531192283	53.899288063920395	53.14353868791909	53.14353868791909	55.33993531192283	54.63104539623913	53.899288063920395	53.14353868791909	55.33993531192283	54.63104539623913	55.33993531192283	55.33993531192283	52.36259766605107	53.899288063920395	53.14353868791909	53.899288063920395	53.899288063920395	54.63104539623913	53.899288063920395	52.36259766605107
D_gc	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506	58.129378945611506
E_code	59.58234433228268	60.23424200434263	60.86544451221021	60.23424200434263	62.64428794347333	61.47692194170688	60.23424200434263	59.58234433228268	59.58234433228268	22.953843883413754	60.86544451221021	60.23424200434263	59.58234433228268	61.47692194170688	60.86544451221021	61.47692194170688	61.47692194170688	58.90871673782071	60.23424200434263	59.58234433228268	60.23424200434263	60.23424200434263	21.730889024420428	60.23424200434263	58.90871673782071
E_gc	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	45.15743860188252	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	63.88305268939667	26.43182451436837	63.88305268939667	63.88305268939667
