	PTN	EN	MN	EFM	AM	IM	YM	AY	SGCode	BN	AFM	CDHN	SOM	KN	CMUT	CN	RM	VM	CM	BAPP	CDSG	TrM	PN	MPCMMS	TM
M_code	41.036271429741575	41.98729930990703	42.9081358287976	41.98729930990703	-8.99355887229599	-12.39960758705525	-16.025401380185937	41.036271429741575	41.036271429741575	43.80019620647238	42.9081358287976	41.98729930990703	41.036271429741575	43.80019620647238	42.9081358287976	43.80019620647238	-12.39960758705525	-19.892914759525475	41.98729930990703	41.036271429741575	41.98729930990703	-16.025401380185937	42.9081358287976	41.98729930990703	40.05354262023744
M_gc	42.49964459640019	42.49964459640019	42.49964459640019	42.49964459640019	-31.54684698834535	-31.54684698834535	-31.54684698834535	42.49964459640019	42.49964459640019	42.49964459640019	42.49964459640019	42.49964459640019	42.49964459640019	42.49964459640019	42.49964459640019	42.49964459640019	5.476398804027424	-31.54684698834535	42.49964459640019	42.49964459640019	42.49964459640019	-31.54684698834535	42.49964459640019	42.49964459640019	42.49964459640019
W_code	8.03345662842875	9.5167879731315	10.953029433875761	-80.966424053737	-69.99876198987432	-75.31122330205791	-80.966424053737	8.03345662842875	8.03345662842875	-75.31122330205791	-78.09394113224907	9.5167879731315	8.03345662842875	-75.31122330205791	-78.09394113224907	-75.31122330205791	-75.31122330205791	-86.99863818886158	9.5167879731315	8.03345662842875	9.5167879731315	-80.966424053737	10.953029433875761	-80.966424053737	6.500680905569486
W_gc	21.05763289296497	21.05763289296497	21.05763289296497	-68.62646710089614	-68.62646710089614	-68.62646710089614	-68.62646710089614	21.05763289296497	21.05763289296497	-68.62646710089614	-68.62646710089614	21.05763289296497	21.05763289296497	-23.784417103965566	-68.62646710089614	-23.784417103965566	-68.62646710089614	-68.62646710089614	21.05763289296497	21.05763289296497	21.05763289296497	-68.62646710089614	21.05763289296497	-68.62646710089614	21.05763289296497
C_code	-71.5947407060471	-153.24062539682762	-66.14728862014083	-68.82708359788508	-58.59513913740735	-63.55123723545134	-68.82708359788508	-71.5947407060471	-71.5947407060471	-63.55123723545134	-66.14728862014083	-68.82708359788508	-71.5947407060471	-63.55123723545134	-66.14728862014083	-63.55123723545134	-63.55123723545134	-74.45465305114793	-68.82708359788508	-71.5947407060471	-68.82708359788508	-68.82708359788508	-66.14728862014083	-68.82708359788508	-74.45465305114793
C_gc	-57.3148986444324	-140.98293334333653	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324	-57.3148986444324
D_code	45.58124191567566	46.45896382026153	47.308821537400256	46.45896382026153	49.703875103882	48.1321212008783	46.45896382026153	45.58124191567566	45.58124191567566	48.1321212008783	47.308821537400256	46.45896382026153	45.58124191567566	48.1321212008783	47.308821537400256	48.1321212008783	48.1321212008783	44.67426261427025	46.45896382026153	45.58124191567566	46.45896382026153	46.45896382026153	47.308821537400256	46.45896382026153	44.67426261427025
D_gc	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107	50.10988462020107
E_code	51.80678596985972	52.58409587357165	53.33672927240385	52.58409587357165	55.457787032749074	54.06584287752247	52.58409587357165	51.80678596985972	51.80678596985972	8.131685755044959	53.33672927240385	52.58409587357165	51.80678596985972	54.06584287752247	53.33672927240385	54.06584287752247	54.06584287752247	51.00356573602403	52.58409587357165	51.80678596985972	52.58409587357165	52.58409587357165	6.673458544807705	52.58409587357165	51.00356573602403
E_gc	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	28.937835278294283	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	55.81734877592447	2.0583217806641225	55.81734877592447	55.81734877592447
