	PTN	MN	EN	AM	EFM	IM	YM	SGCode	AY	BN	AFM	SOM	CDHN	KN	CMUT	CN	RM	VM	CM	BAPP	CDSG	TrM	PN	MPCMMS	TM
M_code	36.01881502244787	38.049963751894175	37.05076961885999	-18.268251019111656	37.05076961885999	-21.96413386345891	-25.898460762280024	36.01881502244787	36.01881502244787	39.01793306827055	38.049963751894175	36.01881502244787	37.05076961885999	39.01793306827055	38.049963751894175	39.01793306827055	-21.96413386345891	-30.095076121022696	37.05076961885999	36.01881502244787	37.05076961885999	-25.898460762280024	38.049963751894175	37.05076961885999	34.95246193948884
M_gc	46.023046037727056	46.023046037727056	46.023046037727056	-18.059142803739466	46.023046037727056	-18.059142803739466	-18.059142803739466	46.023046037727056	46.023046037727056	46.023046037727056	46.023046037727056	46.023046037727056	46.023046037727056	46.023046037727056	46.023046037727056	46.023046037727056	13.98195161699381	-18.059142803739466	46.023046037727056	46.023046037727056	46.023046037727056	-18.059142803739466	46.023046037727056	46.023046037727056	46.023046037727056
W_code	-34.942095752168626	-30.65821969654378	-32.765610336811086	-149.43841942067561	-165.53122067362216	-157.23337002757177	-165.53122067362216	-34.942095752168626	-34.942095752168626	-157.23337002757177	-161.31643939308842	-34.942095752168626	-32.765610336811086	-157.23337002757177	-161.31643939308842	-157.23337002757177	-157.23337002757177	-174.38226136274292	-32.765610336811086	-34.942095752168626	-32.765610336811086	-165.53122067362216	-30.65821969654378	-165.53122067362216	-37.19113068137106
W_gc	-25.29388647469512	-25.29388647469512	-25.29388647469512	-139.13615576906622	-139.13615576906622	-139.13615576906622	-139.13615576906622	-25.29388647469512	-25.29388647469512	-139.13615576906622	-139.13615576906622	-25.29388647469512	-25.29388647469512	-82.21502112188065	-139.13615576906622	-82.21502112188065	-139.13615576906622	-139.13615576906622	-25.29388647469512	-25.29388647469512	-25.29388647469512	-139.13615576906622	-25.29388647469512	-139.13615576906622	-25.29388647469512
C_code	-165.11437866089432	-156.69804917959604	-291.25751044309413	-145.02995603506926	-160.83834029539605	-152.6871421611652	-160.83834029539605	-165.11437866089432	-165.11437866089432	-152.6871421611652	-156.69804917959604	-165.11437866089432	-160.83834029539605	-152.6871421611652	-156.69804917959604	-152.6871421611652	-152.6871421611652	-169.53295163857592	-160.83834029539605	-165.11437866089432	-160.83834029539605	-160.83834029539605	-156.69804917959604	-160.83834029539605	-169.53295163857592
C_gc	-134.90976999685424	-134.90976999685424	-246.74004179266768	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424	-134.90976999685424
D_code	39.87294071156653	41.78173624453268	40.842731990412226	44.42802096069021	40.842731990412226	42.69139661571178	40.842731990412226	39.87294071156653	39.87294071156653	42.69139661571178	41.78173624453268	39.87294071156653	40.842731990412226	42.69139661571178	41.78173624453268	42.69139661571178	42.69139661571178	38.8708230567593	40.842731990412226	39.87294071156653	40.842731990412226	40.842731990412226	41.78173624453268	40.842731990412226	38.8708230567593
D_gc	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042	46.72324549360042
E_code	50.89035217914895	52.44938861790614	51.68244327303364	54.61078004436488	51.68244327303364	53.19236692075129	51.68244327303364	50.89035217914895	50.89035217914895	6.384733841502569	52.44938861790614	50.89035217914895	51.68244327303364	53.19236692075129	52.44938861790614	53.19236692075129	53.19236692075129	50.071858048801424	51.68244327303364	50.89035217914895	51.68244327303364	51.68244327303364	4.898777235812263	51.68244327303364	50.071858048801424
E_gc	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	33.83095397547709	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	56.48543797400492	11.176469976949255	56.48543797400492	56.48543797400492
F_code	10.285016484560835	13.133111199336694	11.73203234771307	17.081606144821286	11.73203234771307	14.490406336846942	11.73203234771307	10.285016484560835	10.285016484560835	14.490406336846942	13.133111199336694	10.285016484560835	11.73203234771307	14.490406336846942	13.133111199336694	14.490406336846942	14.490406336846942	8.7897667593035	11.73203234771307	10.285016484560835	11.73203234771307	11.73203234771307	13.133111199336694	11.73203234771307	8.7897667593035
