	Archaea	Bacteria	Eukaryotes	Viruses
M_mean	0.022570668722871213	0.024542263829699734	0.02412713373962099	0.028636226137269422
W_mean	0.010600009228463167	0.013401798370677072	0.013268759384401427	0.014850783565110088
C_mean	0.010120440126983017	0.009886299491447098	0.019754071066811495	0.014490854978735576
D_mean	0.07072728757949076	0.055687332900114475	0.051858539798885106	0.06080939843103132
E_mean	0.08217608194058604	0.06106005718592827	0.06290818932846992	0.06900927784212145
F_mean	0.035774983421170116	0.03722343429056061	0.03969573437206023	0.03888939328337438
H_mean	0.018675249542418983	0.02132472497287924	0.02512303656458174	0.020703806874925828
K_mean	0.04154895102080259	0.04300254309769265	0.057178160930514026	0.06578720809475777
N_mean	0.030846253689396842	0.03166597920675538	0.040960858140152545	0.04712056183280537
Q_mean	0.024053491139545666	0.03441224520215511	0.04067406902127253	0.034913049121156614
Y_mean	0.030618203613364047	0.026977439431753313	0.028983631049742855	0.0373957798718834
I_mean	0.058763209520600844	0.054946193747009056	0.05091990434533498	0.06188102728652413
A_mean	0.09011917924001384	0.10715227975541389	0.07398444481460294	0.0761607198584987
G_mean	0.07774934952316366	0.07885747392179981	0.06406160599411222	0.06286603193435956
P_mean	0.043119770539745125	0.04827214966802361	0.05433545184369192	0.0401826931190737
T_mean	0.0574996578616409	0.054795202965218344	0.055588337147946906	0.05850872342704046
V_mean	0.08349463322143044	0.07483812648979807	0.0628665110802193	0.06709567935310637
L_mean	0.09155858679033453	0.1013262914201683	0.09315510631071523	0.08432029309189876
R_mean	0.060737415555769406	0.06414949777721818	0.05838224541605072	0.0556566721105421
S_mean	0.05922190587216339	0.056471259187467725	0.08193733399751393	0.060684645560470506
M_std	0.012343670965232909	0.012215822491403435	0.01308845283192095	0.015463905682538848
W_std	0.009818266968901628	0.010767126256253015	0.009984788491611059	0.012976380169917895
C_std	0.013945715131851295	0.01056979015782095	0.016359937922289826	0.016298104510055623
D_std	0.028549519252401786	0.021096174751137352	0.021031267852984592	0.025626139077563056
E_std	0.034728012506269536	0.025509979046674024	0.028256036965708622	0.031482868487907045
F_std	0.018792091022402337	0.018092859132829663	0.018737746456434605	0.02084822701996339
H_std	0.012772558280878452	0.013176775699925976	0.014275778342788719	0.01573447524718644
K_std	0.023686994692072454	0.02363724055658792	0.02750262334785239	0.030518051680127292
N_std	0.017239091911071276	0.01603310369449233	0.01817683966888929	0.021600105604097183
Q_std	0.015257791506388126	0.016945570744443063	0.019850265113759445	0.019869400400450474
Y_std	0.01537468177742451	0.014173805154486177	0.01572351635341491	0.019631538598352795
I_std	0.023459108264952268	0.02100418318886079	0.02080607475690133	0.025513680271921534
A_std	0.03262864083323182	0.03230814485478264	0.027144921711065466	0.03264237892528449
G_std	0.02664295438344157	0.025381392378103475	0.028080648440129148	0.028048298559572093
P_std	0.018057859062854544	0.019927675166023544	0.02674905830867486	0.022226679341983954
T_std	0.021464167201353412	0.019420183867928813	0.02132093056269544	0.02595279374303876
V_std	0.027181454746725824	0.023237876919813806	0.022210134909923115	0.026728767082418895
L_std	0.03167743544071426	0.03013257616008752	0.02906869040156509	0.030453105074104862
R_std	0.02621407600167932	0.025400528647237245	0.025187560759831862	0.027942065487483785
S_std	0.0222936623148212	0.020010672662117937	0.029160947340750396	0.02579046122939452
