	Archaea	Bacteria	Eukaryota	Viruses
M_code	26.1587268604245	32.4306489826616	31.9379326082321	41.0362714297416
M_gc	36.8876170039284	45.5790086542926	36.9024991976127	42.4996445964002
W_code	-24.5780882934535	-7.76009166663257	-11.704074614044	8.03345662842875
W_gc	-16.1669877262806	-1.99136679954804	-4.99433131010567	21.057632892965
C_code	-139.49135592774	-169.744410156437	-56.348801114805	-71.5947407060471
C_gc	-114.007877015387	-136.279430001826	-45.9509112316371	-57.3148986444324
D_code	53.1435386879191	40.8470292450074	36.7050316342453	45.5812419156757
D_gc	58.1293789456115	48.1856539499793	40.9144282304011	50.1098846202011
E_code	59.5823443322827	46.0180213619595	47.7348921163965	51.8067859698597
E_gc	63.8830526893967	52.7151234178686	51.2107539882541	55.8173487759245
F_code	9.02114656016234	12.3475482803918	17.7329028944416	16.6459823566472
F_gc	15.6984802065279	24.361544377156	20.6842090523246	7.01946373923217
H_code	-62.9274177689964	-47.1762711671023	-27.497017911628	-42.7322269657816
H_gc	-45.5908529527991	-28.9173163625138	-19.0178997909592	-30.8542775030678
K_code	22.2797917612085	24.3581653998452	42.5971859376397	49.4913484515025
K_gc	27.9840157852956	34.7259382095023	44.6564937846722	43.6581266318592
N_code	-4.45748197791632	-2.20028293879959	20.12607224148	30.466340008094
N_gc	3.20910682435959	11.8076971715875	22.9915242039524	22.4359283809891
Q_code	-31.7843463907985	5.15449374026248	19.5281493006162	8.2966263770627
Q_gc	-17.7616122540335	16.9211990554733	24.8798848834974	15.9280356292615
Y_code	-5.68415632171304	-18.8213326108819	-10.9135528689185	13.7078640668525
Y_gc	2.07246344445475	-2.5352048621003	-6.93456414691818	3.74202346812761
I_code	15.544322782158	9.9023263933256	3.13397864452003	19.0657381260103
I_gc	19.718706097068	20.5238040007462	5.41217008506257	5.93344130312558
A_code	26.1383836253961	38.1114740266015	10.8087217623719	12.2485858687726
A_gc	18.8476734664933	25.876878120432	12.4691449563812	24.2312811032259
G_code	14.4007279362029	16.004635768478	-2.87606329635474	-5.91388920198289
G_gc	5.95142079858134	-0.600208557688508	-0.96087825830054	8.54894160214635
P_code	-52.4798589715199	-36.1956511715257	-20.833891740426	-59.9447611642891
P_gc	-67.5307949162951	-63.1198464089023	-18.584396044965	-38.1038672441868
T_code	-15.4586737166554	-20.6459838954366	-18.6534405739616	-13.7808128224598
T_gc	-3.17310012879572	-5.67842458826573	-10.7624596355078	-4.31215410913591
V_code	20.2238065852905	11.4732961291166	-4.9982578268518	0.292557661406556
V_gc	28.7125260829782	22.4560793737225	1.98459279319482	8.59005281250639
L_code	-9.14544245565696	1.80705113047898	-6.49778331581215	-19.6199607422991
L_gc	1.26731283955367	14.4146208208156	-0.502541370414948	-17.5885239632423
R_code	-63.7430092979389	-54.560637266057	-69.3581536549848	-78.5308401406205
R_gc	-68.7103566257233	-68.5387635719325	-63.5019009644493	-57.3259065502244
S_code	-68.3778737494353	-75.8128527934247	-21.0725113986103	-64.644902932979
S_gc	-50.4613440342872	-54.0011917983169	-13.0206515031389	-50.9434153439135
