	Archaea	Bacteria	Eukaryotes	Viruses
M_mean	0.023655191283170413	0.02510654922277707	0.02351383298357536	0.02607093926224922
W_mean	0.010369392542068511	0.012835896852164661	0.01315867441738055	0.015450584747723352
C_mean	0.010500440465790194	0.010035178525896466	0.018583019360726993	0.015219443673071055
D_mean	0.06588298256629876	0.055271759557434214	0.05254742216719647	0.05666106378827485
E_mean	0.08237808446082194	0.06201265560870154	0.06298057802492775	0.061641385723071616
F_mean	0.03674732323332638	0.03875453688398973	0.03930772125187635	0.04024986722699449
H_mean	0.01800622015788796	0.020986118663749546	0.024822730903719344	0.021140046716559245
K_mean	0.051346311844321035	0.04810589966522522	0.056824938895101866	0.060911121131077155
N_mean	0.0337302106913017	0.03464647755100029	0.04102383439092643	0.04542754844488197
Q_mean	0.02362959114145742	0.03489607548923942	0.040737558491171076	0.03684908364820556
Y_mean	0.031930501902670744	0.028362420458794793	0.02933478593468136	0.036525887742584064
I_mean	0.06491880613795165	0.059231419141260726	0.051203689923890496	0.05752615124907474
A_mean	0.08308807503457664	0.10157216027691299	0.07619753767406397	0.07403438780957623
G_mean	0.07566943622518645	0.076309257428906	0.0641623598683947	0.06340710012092715
P_mean	0.04193251462459888	0.04577660278137325	0.05465639327703786	0.046245293936334794
T_mean	0.05451772634565848	0.054057055769396546	0.056235325130113124	0.061208815842654384
V_mean	0.0804606056287569	0.07319354259890865	0.06245203000110622	0.06573525093480043
L_mean	0.09222874022296049	0.10080061533112802	0.09259696436714272	0.08671821545461034
R_mean	0.05879358408965792	0.06066411538566996	0.05822464810171798	0.05989415305586394
S_mean	0.060190592761351455	0.05737415820106599	0.08122243133691642	0.06899159904101358
M_std	0.00496894740795811	0.004091925243590235	0.0022324910616596913	0.006487560106315217
W_std	0.0016003412860591826	0.002609208248220531	0.0019989646668475886	0.0057086179928351535
C_std	0.002856361167235458	0.0027450887182467877	0.004748975596510036	0.007121142669130601
D_std	0.01603041161567396	0.005293586780633947	0.004390275120365716	0.009420022311950176
E_std	0.011542395507713016	0.008294385656217781	0.005403441755333766	0.015744442365979917
F_std	0.00516883741497976	0.007949671325200223	0.004929004021006957	0.009953258387478374
H_std	0.002500811786712843	0.0027781528378882712	0.0021656926376214572	0.006078312102085045
K_std	0.029664647400037897	0.02447807284695184	0.011949541829165853	0.020677782507724812
N_std	0.013431770577542098	0.014908541119294749	0.011972552851397174	0.01348656252828836
Q_std	0.004525600259090471	0.007696643530273481	0.007146767521827222	0.008351619154001863
Y_std	0.0066801268021664	0.008245612695732686	0.00454918797518969	0.009514276015989186
I_std	0.023200075687345653	0.019363047069801926	0.01064850125773268	0.015598062154389742
A_std	0.02319404109801445	0.02958325414463715	0.018062444082717972	0.023328911973958612
G_std	0.008981455601140904	0.01203530254588467	0.009031835983194854	0.013657245589181109
P_std	0.005298589365027177	0.010644556922525908	0.008250255989673536	0.014800871583106496
T_std	0.009300643947640781	0.005044230427180833	0.004910747957242935	0.010680219034598802
V_std	0.01218594156698318	0.009864572824636085	0.004754362275257065	0.012038781844070109
L_std	0.007347655597983142	0.006774314494869068	0.0055889524159695395	0.013759053886640681
R_std	0.012619709546793595	0.017215676356490982	0.007746041868750821	0.016581860484846875
S_std	0.006752372060661813	0.006538333739059831	0.005849552215898271	0.015609659946381155
