Archaea			Bacteria			Eukaryotes			Viruses	
Mean	Std		Mean	Std		Mean	Std		Mean	Std
283.822695035461	179.406898049812		327.99024670109	191.098337333647		351.700587084149	291.767890352909		214.618181818182	206.587573656369
289.818246110325	186.797126630781		375.761980830671	367.788292192575		403.572200459273	405.005338555128		368	153.502442977302
303.697549312612	214.711098542418		314.53671675645	208.387592779652		406.918722786647	384.943065926842		5809	0
297.103202846975	194.738159504458		319.102323838081	229.278998258054		451.766231234159	325.112817494033		2683	0
270.461651196873	178.520752877712		306.176576576577	222.002232330824		496.621203438395	528.911427632221		449	301.019932894817
283.692328918322	199.61479461389		341.102187397976	267.567118627072		477.22968277099	396.851421460534		320.5	37.476659402887
284.436740207114	181.462080472889		289.658095507205	212.594230957994		304.591337099812	284.397430925924		183.625	169.851142811244
277.131681877445	194.268258165365		319.558700209644	226.755100168584		428.438967417345	332.127557504488		720.454545454546	431.405693897603
252.88416988417	190.935936802165		280.505111976631	196.253122936043		427.917722902098	414.844401822222		199.763888888889	217.032125424679
284.296430004011	184.343242225867		311.531228899392	254.897213470168		334.149652455236	289.378204828352		211.584615384615	302.953992603853
301.882720875684	282.412582863833		339.450763559768	268.685435271222		462.27877725263	319.634663363186		178.58064516129	164.56635000411
289.684713375796	193.6251346167		321.665068294101	268.799867091722		409.290952592922	302.764280302008		183.230769230769	167.74949807941
214.866023275617	171.558403611707		324.098098859316	222.66254480507		523.952960612121	595.84987951458		204.85625	212.989675448094
277.408092175777	195.546912208282		340.433176295562	404.446047965037		408.671632896305	317.691443282645		2903	0
283.668241965974	201.508536867709		316.167859466493	207.645918027794		519.289709075119	493.384985913664		199.304347826087	180.975973734233
278.297768479777	182.410765215421		311.252893124575	252.762814138549		338.077619028125	335.161556703217		2939	0
299.550440081246	186.610904657987		347.457957957958	427.993082446226		377.701909540483	280.620118689389		408.545454545455	599.415442516518
306.412719891746	195.51602510717		320.765670202507	300.395552155502		400.313747477013	396.262738294058		216.555555555556	135.953219078394
309.672472677596	253.872751054163		280.256273525721	209.9139884106		410.849666221629	261.398079103698		678.166666666667	736.96496976903
293.102026049204	206.440460796858		310.512743628186	238.480841103792		433.560802109524	519.973854086142		381.5	214.648317021122
299.764509673115	195.511656067238		340.671514675052	295.032042949734		410.930067422178	311.517211141896		347.428571428571	225.686993527804
280.708384964891	189.304261323625		311.886865342163	216.547422017796		395.092707367933	296.138536878768		212.836065573771	245.507174391291
289.296995708155	206.426819900835		322.901264298615	247.615752446381		360.826632302405	392.768262994705		467.333333333333	751.054636272666
292.081370449679	199.666498578908		335.724648408586	295.242186329841		492.460940427126	394.980540084743		200.481481481482	179.122512945399
308.132956685499	241.434951373338		347.352724594993	267.64432301595		318.376083784016	267.170685943048		247.745098039216	188.219110946498
304.116077384923	226.007951473289		329.056431826148	245.487074806559		695.521246984598	779.218114195863		179.525641025641	209.685152002623
300.476710753307	193.064049376254		322.115458015267	233.658860225196		290.555728518057	258.826177273314		145.378151260504	158.197253978026
270.391767554479	184.318231058165		336.405772495756	209.522992505334		314.100818533947	294.373336683131		306.666666666667	243.816187594945
282.563432835821	203.09081732295		331.226734348562	247.959525997216		499.106146868667	376.855773991715		200	121.622366364086
272.954245043213	191.560869106307		223.339393939394	172.003618153591		484.397689480133	346.740316365646		443.909090909091	587.965212329004
291.950959488273	200.001448364788		313.081127241674	259.475251298532		505.905908919834	459.528099207151		240.208333333333	210.509522487632
262.756860592755	186.529274900674		323.674921630094	206.934244909926		546.059940298508	420.109218729568		333.428571428571	214.95802469541
278.582685329186	190.381693834648		326.717465753425	205.170097953091		546.949489151647	611.799652394429		955.5	71.4177848998413
288.020248667851	222.822805807978		302.179178470255	201.27668267388		488.796572094184	329.906851256237		270	28.2842712474619
150.717472118959	141.245874730326		329.176686217009	216.170350531143		383.763467224346	310.801648186655		2318	0
294.172082946456	210.220630320498		301.141031598513	209.256202663625		538.937250718857	558.151629742122		135.285714285714	111.68237274052
296.351555555556	217.591132193044		315.502120141343	223.88105187506		738.99364106058	792.137535649846		186.729166666667	152.752161886478
309.982188295165	245.616268599811		291.96222166625	191.794961172078		217.427048104086	193.920884142397		286.391304347826	238.533713271625
