	AM	YM	EFM	EN	AY	RM	CDSG	VM	PTN	BN	BAPP	CMUT	PN	CN	IM	SOM	SGCode	KN	MPCMMS	TrM	AFM	CM	MN	CDHN	TM
M_code	-25.81170033023776	-33.92858422251103	33.03570788874449	33.03570788874449	31.93793260823211	-29.7433159655577	33.03570788874449	-38.3928703632614	31.93793260823211	35.12834201722115	31.93793260823211	34.09863316035195	34.09863316035195	35.12834201722115	-29.7433159655577	31.93793260823211	31.93793260823211	35.12834201722115	33.03570788874449	-33.92858422251103	34.09863316035195	33.03570788874449	34.09863316035195	33.03570788874449	30.8035648183695
M_gc	-31.2407243879111	-31.2407243879111	36.90249919761268	36.90249919761268	36.90249919761268	2.8308874048507997	36.90249919761268	-31.2407243879111	36.90249919761268	36.90249919761268	36.90249919761268	36.90249919761268	36.90249919761268	36.90249919761268	-31.2407243879111	36.90249919761268	36.90249919761268	36.90249919761268	36.90249919761268	-31.2407243879111	36.90249919761268	36.90249919761268	36.90249919761268	36.90249919761268	36.90249919761268
W_code	-106.4832894380815	-119.80479198247363	-119.80479198247363	-9.90239599123681	-11.704074614043957	-112.93589223302156	-9.90239599123681	-127.13161838188942	-11.704074614043957	-112.93589223302156	-11.704074614043957	-116.3158270303708	-8.157913515185049	-112.93589223302156	-112.93589223302156	-11.704074614043957	-11.704074614043957	-112.93589223302156	-119.80479198247363	-119.80479198247363	-116.3158270303708	-9.90239599123681	-8.157913515185049	-9.90239599123681	-13.565809190944378
W_gc	-108.55051477158663	-108.55051477158663	-108.55051477158663	-4.9943313101056726	-4.9943313101056726	-108.55051477158663	-4.9943313101056726	-108.55051477158663	-4.9943313101056726	-108.55051477158663	-4.9943313101056726	-108.55051477158663	-4.9943313101056726	-56.772423040846135	-108.55051477158663	-4.9943313101056726	-4.9943313101056726	-56.772423040846135	-108.55051477158663	-108.55051477158663	-108.55051477158663	-4.9943313101056726	-4.9943313101056726	-4.9943313101056726	-4.9943313101056726
C_code	-44.50419496974419	-53.82704625811462	-53.82704625811462	-130.74056938717194	-56.348801114805	-49.01995106254871	-53.82704625811462	-58.954614466718446	-56.348801114805	-49.01995106254871	-56.348801114805	-51.385347111160385	-51.385347111160385	-49.01995106254871	-49.01995106254871	-56.348801114805	-56.348801114805	-49.01995106254871	-53.82704625811462	-53.82704625811462	-51.385347111160385	-53.82704625811462	-51.385347111160385	-53.82704625811462	-58.954614466718446
C_gc	-45.950911231637136	-45.950911231637136	-45.950911231637136	-118.42313387960017	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136	-45.950911231637136
D_code	41.500104995287224	37.72591822078969	37.72591822078969	37.72591822078969	36.705031634245266	39.671983276389945	37.72591822078969	35.650115494816006	36.705031634245266	39.671983276389945	36.705031634245266	38.7143957093486	38.7143957093486	39.671983276389945	39.671983276389945	36.705031634245266	36.705031634245266	39.671983276389945	37.72591822078969	37.72591822078969	38.7143957093486	37.72591822078969	38.7143957093486	37.72591822078969	35.650115494816006
D_gc	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114	40.91442823040114
E_code	51.69436998636642	48.577877727422376	48.577877727422376	48.577877727422376	47.73489211639652	50.184819048440374	48.577877727422376	46.86380698500312	47.73489211639652	0.3696380968807441	47.73489211639652	49.39410189047918	-1.2117962190416454	50.184819048440374	50.184819048440374	47.73489211639652	47.73489211639652	50.184819048440374	48.577877727422376	48.577877727422376	49.39410189047918	48.577877727422376	49.39410189047918	48.577877727422376	46.86380698500312
E_gc	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	26.01569717572007	51.21075398825413	51.21075398825413	0.8206403631860152	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413	51.21075398825413
F_code	23.96525873577171	19.059791557434483	19.059791557434483	19.059791557434483	17.732902894441615	21.589173071264568	19.059791557434483	16.361784609348963	17.732902894441615	21.589173071264568	17.732902894441615	20.34455677080856	20.34455677080856	21.589173071264568	21.589173071264568	17.732902894441615	17.732902894441615	21.589173071264568	19.059791557434483	19.059791557434483	20.34455677080856	19.059791557434483	20.34455677080856	19.059791557434483	16.361784609348963
F_gc	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647	20.684209052324647
H_code	-17.838152918323015	-25.440614396924378	-25.440614396924378	-25.440614396924378	-27.497017911628042	-21.520595197020622	-25.440614396924378	-29.62196821015519	-27.497017911628042	-21.520595197020622	-27.497017911628042	-23.4494935334811	-23.4494935334811	-21.520595197020622	-21.520595197020622	-27.497017911628042	-27.497017911628042	-21.520595197020622	-25.440614396924378	-25.440614396924378	-23.4494935334811	-25.440614396924378	-23.4494935334811	-25.440614396924378	-29.62196821015519
H_gc	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921	-19.01789979095921
K_code	46.945883972666955	43.5230377773552	71.7615188886776	43.5230377773552	42.597185937639715	17.93191427021918	43.5230377773552	41.640472369933704	42.597185937639715	45.28794284681279	42.597185937639715	16.62924624276237	44.41949749517497	45.28794284681279	17.93191427021918	42.597185937639715	42.597185937639715	45.28794284681279	43.5230377773552	71.7615188886776	72.20974874758758	43.5230377773552	44.41949749517497	43.5230377773552	41.640472369933704
K_gc	44.656493784672186	44.656493784672186	73.39212394540672	44.656493784672186	44.656493784672186	31.16779585977543	44.656493784672186	44.656493784672186	44.656493784672186	44.656493784672186	44.656493784672186	17.679097934878683	44.656493784672186	44.656493784672186	35.66402850140768	44.656493784672186	44.656493784672186	44.656493784672186	44.656493784672186	73.39212394540672	73.39212394540672	44.656493784672186	44.656493784672186	44.656493784672186	44.656493784672186
N_code	26.177127374701154	21.414361398875503	-17.878457901686755	21.414361398875503	20.126072241480028	23.87016260516056	21.414361398875503	18.79484011217135	20.126072241480028	23.87016260516056	20.126072241480028	22.66175248778226	22.66175248778226	23.87016260516056	23.87016260516056	20.126072241480028	20.126072241480028	23.87016260516056	21.414361398875503	-17.878457901686755	-16.00737126832673	21.414361398875503	22.66175248778226	21.414361398875503	18.79484011217135
N_gc	22.991524203952363	22.991524203952363	-16.993059915227043	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363	-16.993059915227043	-16.993059915227043	22.991524203952363	22.991524203952363	22.991524203952363	22.991524203952363
Q_code	25.62450162632704	20.826082376412735	20.826082376412735	20.826082376412735	19.52814930061623	23.300267302149756	20.826082376412735	18.186951788959824	19.52814930061623	23.300267302149756	19.52814930061623	22.08281122758081	22.08281122758081	-53.399465395700496	23.300267302149756	19.52814930061623	19.52814930061623	-53.399465395700496	20.826082376412735	20.826082376412735	22.08281122758081	20.826082376412735	22.08281122758081	-18.760876435380904	18.186951788959824
Q_gc	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	-13.912589336512616	24.879884883497432	24.879884883497432	24.879884883497432	-52.70506355652267	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	24.879884883497432	-12.421161489714178	24.879884883497432
Y_code	-2.5110109849096633	-9.124624596839208	-9.124624596839208	-9.124624596839208	-10.913552868918526	-5.7144800781880996	-9.124624596839208	-12.76211208340052	-10.913552868918526	-5.7144800781880996	-10.913552868918526	-61.08873154771515	-7.392487698476653	-5.7144800781880996	-5.7144800781880996	-10.913552868918526	-10.913552868918526	-5.7144800781880996	-9.124624596839208	-9.124624596839208	-61.08873154771515	-9.124624596839208	-114.78497539695331	-9.124624596839208	-12.76211208340052
Y_gc	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-62.45746641425123	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-6.934564146918176	-62.45746641425123	-6.934564146918176	-113.86912829383655	-6.934564146918176	-6.934564146918176
I_code	40.31487573046177	36.46422255178195	4.696333827672921	4.696333827672921	3.13397864452003	7.674573395558047	4.696333827672921	34.346363303508014	3.13397864452003	7.674573395558047	3.13397864452003	6.209090433582811	6.209090433582811	7.674573395558047	38.4497155970387	3.13397864452003	3.13397864452003	7.674573395558047	4.696333827672921	36.46422255178195	6.209090433582811	4.696333827672921	6.209090433582811	4.696333827672921	1.519544955261912
I_gc	37.739344403136826	37.739344403136826	5.412170085062572	5.412170085062572	5.412170085062572	21.575757244099698	5.412170085062572	37.739344403136826	5.412170085062572	5.412170085062572	5.412170085062572	5.412170085062572	5.412170085062572	5.412170085062572	37.739344403136826	5.412170085062572	5.412170085062572	5.412170085062572	5.412170085062572	37.739344403136826	5.412170085062572	5.412170085062572	5.412170085062572	5.412170085062572	5.412170085062572
A_code	17.565636780373943	12.24729076620461	12.24729076620461	12.24729076620461	10.80872176237191	14.989562929760622	12.24729076620461	9.322200458411427	-11.489097797035107	14.989562929760622	10.80872176237191	13.640190912772814	13.640190912772814	14.989562929760622	14.989562929760622	10.80872176237191	10.80872176237191	14.989562929760622	12.24729076620461	12.24729076620461	13.640190912772814	12.24729076620461	13.640190912772814	12.24729076620461	9.322200458411427
A_gc	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	-8.489308550372137	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188	12.469144956381188
G_code	-42.62363320631013	-1.2167719528651548	-1.2167719528651548	-1.2167719528651548	-2.8760632963547357	1.9462521706617733	-26.52096494108145	-4.590664351293999	-2.8760632963547357	1.9462521706617733	-2.8760632963547357	0.38984347495812793	0.38984347495812793	1.9462521706617733	1.9462521706617733	-2.8760632963547357	-2.8760632963547357	1.9462521706617733	-1.2167719528651548	-1.2167719528651548	0.38984347495812793	-1.2167719528651548	0.38984347495812793	-1.2167719528651548	-4.590664351293999
G_gc	-16.966602931773142	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-24.80390395212971	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401	-0.9608782583005401
P_code	-11.679809032818063	-18.884958002677173	-18.884958002677173	-18.884958002677173	-20.833891740425965	-15.16980306509364	-18.884958002677173	-22.84778993609975	-20.833891740425965	-15.16980306509364	-20.833891740425965	-16.997895177237822	-16.997895177237822	-15.16980306509364	-15.16980306509364	-20.833891740425965	-20.833891740425965	-15.16980306509364	-18.884958002677173	-18.884958002677173	-16.997895177237822	-18.884958002677173	-16.997895177237822	-18.884958002677173	-22.84778993609975
P_gc	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958	-18.584396044964958
T_code	-9.664543560782846	-133.47935080682797	-16.739675403413877	-16.739675403413877	-18.653440573961632	-13.091560547057318	-16.739675403413877	-20.630997916861013	-18.653440573961632	-13.091560547057318	-18.653440573961632	-14.88666468272474	-14.88666468272474	-13.091560547057318	-13.091560547057318	-18.653440573961632	-18.653440573961632	-13.091560547057318	-16.739675403413877	-16.739675403413877	-14.88666468272474	-16.739675403413877	-14.88666468272474	-16.739675403413877	-20.630997916861013
T_gc	-10.762459635507758	-121.52491927101563	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758	-10.762459635507758
V_code	2.956155644879286	-3.3047375393219456	-3.3047375393219456	-3.3047375393219456	-4.998257826851802	-0.07646449121824532	-3.3047375393219456	-6.748228790632682	-4.998257826851802	-0.07646449121824532	-4.998257826851802	-1.664979800602523	-1.664979800602523	-0.07646449121824532	-0.07646449121824532	-4.998257826851802	-4.998257826851802	-0.07646449121824532	-3.3047375393219456	-3.3047375393219456	-1.664979800602523	-3.3047375393219456	-1.664979800602523	-3.3047375393219456	-6.748228790632682
V_gc	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202	1.9845927931948202
L_code	1.5702305717493765	65.07330762223368	-4.780077133299061	-4.780077133299061	11.25184723682331	-1.505699722883468	-4.780077133299061	-8.272746371075705	11.25184723682331	-1.505699722883468	-6.497783315812146	-3.1169013057863446	-3.1169013057863446	-1.505699722883468	-1.505699722883468	-24.24741386844748	-6.497783315812146	-1.505699722883468	-4.780077133299061	-4.780077133299061	-3.1169013057863446	-22.243423322182224	-3.1169013057863446	-4.780077133299061	9.772711357436952
L_gc	-0.5025413704149477	65.77426368880164	-0.5025413704149477	-0.5025413704149477	16.18091979529863	-0.5025413704149477	-0.5025413704149477	-0.5025413704149477	16.18091979529863	-0.5025413704149477	-0.5025413704149477	-0.5025413704149477	-0.5025413704149477	-0.5025413704149477	-0.5025413704149477	-16.95748273430966	-0.5025413704149477	-0.5025413704149477	-0.5025413704149477	-0.5025413704149477	-0.5025413704149477	-16.95748273430966	-0.5025413704149477	-0.5025413704149477	17.26825357688876
R_code	-56.5279904993041	-66.62657053151729	-11.084380354344741	-66.62657053151729	-69.35815365498476	-34.516241835339486	-66.62657053151729	-14.787193032822904	-69.35815365498476	-61.41949020240738	-69.35815365498476	-9.321136221736067	-63.98170433260426	-61.41949020240738	-34.516241835339486	-69.35815365498476	-69.35815365498476	-61.41949020240738	-66.62657053151729	-11.084380354344741	-9.321136221736067	-66.62657053151729	-63.98170433260426	-66.62657053151729	-72.18078954923455
R_gc	-28.369660068584153	-63.501900964449284	-10.803539620651598	-63.501900964449284	-63.501900964449284	-24.06898088913847	-63.501900964449284	-10.803539620651598	-63.501900964449284	-63.501900964449284	-63.501900964449284	-10.803539620651598	-63.501900964449284	-63.501900964449284	-19.647167132976186	-63.501900964449284	-63.501900964449284	-63.501900964449284	-63.501900964449284	-10.803539620651598	-10.803539620651598	-63.501900964449284	-63.501900964449284	-63.501900964449284	-63.501900964449284
S_code	-49.200468592226905	-19.119728956697294	-58.826305275596354	-19.119728956697294	-41.25126329837872	-34.630110331267254	-19.119728956697294	-23.090386588587215	-21.072511398610345	-15.397237426800507	-21.072511398610345	-36.767096209541336	-17.22893960817825	-15.397237426800507	-53.862983235734006	-0.8937594988418455	-21.072511398610345	-15.397237426800507	-19.119728956697294	-58.826305275596354	-56.305252810904285	-19.119728956697294	-17.22893960817825	-19.119728956697294	-23.090386588587215
S_gc	-25.578501670154324	-13.02065150313892	-50.69420200418525	-13.02065150313892	-31.98732366535872	-31.727529841965435	-13.02065150313892	-13.02065150313892	-13.02065150313892	-13.02065150313892	-13.02065150313892	-31.727529841965435	-13.02065150313892	-13.02065150313892	-38.049753896038695	5.68622683568761	-13.02065150313892	-13.02065150313892	-13.02065150313892	-50.69420200418525	-50.69420200418525	-13.02065150313892	-13.02065150313892	-13.02065150313892	-13.02065150313892
