	code_spearman	code_p_spearman	code_kendall	code_p_kendall	gc_spearman	gc_p_spearman	gc_kendall	gc_p_kendall
AM	0.732139687135338	5e-324	0.5947375521359979	5e-324	0.6963047194729064	5e-324	0.5451882794477392	5e-324
YM	0.5374693671811498	5e-324	0.41635418976237715	5e-324	0.4921664106974755	5e-324	0.3667872293625204	5e-324
EFM	0.6980419974738404	5e-324	0.5691563860540273	5e-324	0.6910823180808748	5e-324	0.5491302038954142	5e-324
EN	0.7282916135729408	5e-324	0.5957417406547156	5e-324	0.7340414547964621	5e-324	0.5789733783810597	5e-324
AY	0.7882304282272307	5e-324	0.6542491870888812	5e-324	0.7801699329304459	5e-324	0.6274966921113443	5e-324
RM	0.7772480654807656	5e-324	0.6395898645209546	5e-324	0.775580218512668	5e-324	0.6222589604640987	5e-324
CDSG	0.7918396226803395	5e-324	0.663753898561003	5e-324	0.7811499137805404	5e-324	0.626556022653288	5e-324
VM	0.750676485794572	5e-324	0.6327753419352813	5e-324	0.7007169029781423	5e-324	0.5579907540781954	5e-324
PTN	0.793683778804765	5e-324	0.6615827809239224	5e-324	0.7838463337843001	5e-324	0.6316802812855513	5e-324
BN	0.8190206191108563	5e-324	0.6841503396925858	5e-324	0.789287538554197	5e-324	0.6222573644051738	5e-324
BAPP	0.7917451978972126	5e-324	0.6675165180367458	5e-324	0.7814743403020789	5e-324	0.6311633272732068	5e-324
CMUT	0.764068746635528	5e-324	0.6294282674839107	5e-324	0.7585883863686184	5e-324	0.6108451326746337	5e-324
PN	0.8458103007284221	5e-324	0.7196415279305169	5e-324	0.8311606530526195	5e-324	0.6744103500504465	5e-324
CN	0.7150754720041114	5e-324	0.5881684434506375	5e-324	0.7631600318954728	5e-324	0.602391747548919	5e-324
IM	0.7648127857173534	5e-324	0.6239139281927298	5e-324	0.7328150899982903	5e-324	0.5765489747296577	5e-324
SOM	0.7922991812005129	5e-324	0.6660022242810371	5e-324	0.78396996890035	5e-324	0.6382309514970532	5e-324
SGCode	0.7917451978972126	5e-324	0.6675165180367458	5e-324	0.7814743403020789	5e-324	0.6311633272732068	5e-324
KN	0.7150754720041114	5e-324	0.5881684434506375	5e-324	0.7481164377566291	5e-324	0.5852374091650488	5e-324
MPCMMS	0.7556674276152738	5e-324	0.626591125438485	5e-324	0.7340265975181515	5e-324	0.5814309455845943	5e-324
TrM	0.6568450321425936	5e-324	0.5271958599144975	5e-324	0.637689807277045	5e-324	0.4898296960542042	5e-324
AFM	0.6731388043126948	5e-324	0.5399632141422667	5e-324	0.6639234401291509	5e-324	0.523278658173318	5e-324
CM	0.7967978360735869	5e-324	0.6745903949458497	5e-324	0.7869987088797652	5e-324	0.6423330629686883	5e-324
MN	0.7117832359543624	5e-324	0.5907405996302839	5e-324	0.7258395972337716	5e-324	0.5706639842409252	5e-324
CDHN	0.7763165178567782	5e-324	0.6513777251463743	5e-324	0.7711473387552484	5e-324	0.6141620677823423	5e-324
TM	0.7844773374357615	5e-324	0.6505552671958472	5e-324	0.7771521604790999	5e-324	0.6229446318857293	5e-324
