	code_spearman	code_p_spearman	code_kendall	code_p_kendall	gc_spearman	gc_p_spearman	gc_kendall	gc_p_kendall
PTN	0.5969235682061882	5e-324	0.4585781167746084	7.851753509693289e-67	0.5984133793566822	5e-324	0.43949563558233185	1.4693510917849946e-66
MN	0.550534922902845	5e-324	0.4302026228364946	1.1641617466974201e-54	0.5563613855759381	5e-324	0.4072503944338795	1.7643034126239304e-54
EN	0.5379110074705934	2.2700960764063777e-55	0.4102551365204973	3.2973793414974378e-49	0.541798629769218	1.3124684558500987e-55	0.39290204493982617	1.2194458714506359e-49
IM	0.5270972087087978	5e-324	0.40757059299175646	2.8298232026159574e-45	0.48433839484171304	2.816263885849975e-40	0.34919717302416897	1.1062643098369557e-33
EFM	0.4891879363316664	6.268900128904964e-41	0.37422978624170355	9.594258792042669e-38	0.45714240739401213	1.4783099284961292e-34	0.3277192201824682	6.164516160472752e-29
AM	0.4934531477540573	5e-324	0.38585648338471124	1.331237923830265e-37	0.47594381259293433	6.304830257219614e-38	0.3477756021165104	1.7081295766495737e-32
SGCode	0.6043843716459313	5e-324	0.4740806225635127	2.461655181364123e-70	0.5972809504923151	5e-324	0.4421582307520428	8.424296805212691e-67
YM	0.33198987904218785	4.849973555049282e-11	0.2459320048988406	2.0431991512000382e-08	0.32302861748791534	3.585173349343048e-10	0.22613470813905764	1.049429155945155e-07
AFM	0.47880385688156635	1.969792724414245e-38	0.37072362739966763	2.453783611437349e-37	0.4446416939931933	6.591169615936548e-32	0.3204215431971539	4.339112549186461e-27
AY	0.5931680928504361	5e-324	0.4544760044322745	1.977882239857122e-64	0.5863415501923501	5e-324	0.4291135761015527	1.0280589903861444e-61
BN	0.6431022278742703	5e-324	0.4894612137798148	8.371092323236924e-75	0.6189276098861419	5e-324	0.44187190232104245	3.290636186252595e-67
SOM	0.6135098407129567	5e-324	0.4834622169266003	1.1923146040078216e-75	0.6067691092934046	5e-324	0.453266597592115	3.238889379072113e-71
CDHN	0.562324286874939	5e-324	0.4383806907730806	4.518038245577253e-59	0.5615522913287819	8.932973487830822e-63	0.41304458555335266	5.0797706333485297e-57
KN	0.4765681425821494	2.1488114772021888e-38	0.3650793772130753	4.060013122678578e-34	0.5138083047231558	4.373647782833392e-48	0.36790504266442076	8.998917110086022e-42
CMUT	0.5794361063104608	5e-324	0.44355142534050923	1.3454039107256644e-59	0.5595843189075052	3.3508683746086757e-62	0.4067636879606767	6.296655125928194e-53
CN	0.4765681425821494	6.822748326751483e-38	0.3650793772130753	4.060013122678578e-34	0.5427539034472251	3.9995623047752895e-57	0.39164421913250824	1.4544400329288632e-49
RM	0.5878586568600658	5e-324	0.44840701559091467	4.7471279614485787e-60	0.5512570358188232	2.367309918452639e-59	0.3989409071077539	7.543688019389105e-51
VM	0.5017406489478021	2.0379836832856381e-44	0.40711485838426725	3.4017622083986617e-41	0.4673344056245512	8.392926878539022e-36	0.3433059323475611	7.7471284046065115e-31
CM	0.6126709529992337	5e-324	0.4825458104385888	1.1691620633787968e-74	0.6028648364027198	6.649194990604454e-78	0.44791403148043035	5.375088826680346e-69
BAPP	0.6043843716459313	5e-324	0.4740806225635127	2.461655181364123e-70	0.5972809504923151	1.0112759853212297e-75	0.4421582307520428	8.424296805212691e-67
CDSG	0.610684938354141	5e-324	0.47608488383634323	7.32392996402786e-73	0.6104856193504439	1.0172986200699557e-80	0.4516184286904212	2.592649792690828e-71
TrM	0.41424578439260384	1.2605674953847672e-24	0.33195296510182765	4.995652493582182e-25	0.3717847359195163	7.016353538946967e-19	0.2662989797093895	1.700066823383725e-15
PN	0.6755584281795013	5e-324	0.528624745478222	6.092586243127933e-93	0.6647523877022721	5e-324	0.49128139612569977	2.269474814354991e-89
MPCMMS	0.5601649202320136	6.200295966514656e-63	0.4285709687997631	1.4229196955897096e-52	0.5496825758124828	5.821170981684731e-59	0.3976072862363389	2.2991030535434924e-49
TM	0.5945099045242404	5e-324	0.4587208308812063	1.472508812900475e-65	0.588016347450826	4.370204617835537e-72	0.4320308843529392	7.968408861052757e-63
