	Coefficient	Correlation	Comparison	Domain
0	0.1821295231480139	Spearman	code	Archaea
1	0.3035492052466899	Spearman	code	Archaea
2	0.3299486175587532	Spearman	code	Archaea
3	0.2306973959874843	Spearman	code	Archaea
4	0.449252823765101	Spearman	code	Archaea
5	0.449252823765101	Spearman	code	Archaea
6	0.2549813324072195	Spearman	code	Archaea
7	0.3278331416664251	Spearman	code	Archaea
8	0.3278331416664251	Spearman	code	Archaea
9	0.449252823765101	Spearman	code	Archaea
10	0.4006849509256307	Spearman	code	Archaea
11	0.2306973959874843	Spearman	code	Archaea
12	0.3035492052466899	Spearman	code	Archaea
13	0.1461438117223081	Spearman	code	Archaea
14	0.3521170780861603	Spearman	code	Archaea
15	0.2064134595677491	Spearman	code	Archaea
16	0.2064134595677491	Spearman	code	Archaea
17	0.3764010145058954	Spearman	code	Archaea
18	0.4980079528446355	Spearman	code	Archaea
19	0.2064134595677491	Spearman	code	Archaea
20	0.1821295231480139	Spearman	code	Archaea
21	0.3278331416664251	Spearman	code	Archaea
22	0.4978206966045714	Spearman	code	Archaea
23	0.3764010145058954	Spearman	code	Archaea
24	0.2306973959874843	Spearman	code	Archaea
25	0.3521170780861603	Spearman	code	Archaea
26	0.2792652688269547	Spearman	code	Archaea
27	0.2064134595677491	Spearman	code	Archaea
28	0.3278331416664251	Spearman	code	Archaea
29	0.3534483383281132	Spearman	code	Archaea
30	0.2306973959874843	Spearman	code	Archaea
31	0.060732677176175	Spearman	code	Archaea
32	0.2804273385176286	Spearman	code	Archaea
33	0.2064134595677491	Spearman	code	Archaea
34	0.2792652688269547	Spearman	code	Archaea
35	0.2064134595677491	Spearman	code	Archaea
36	0.1092777138888083	Spearman	code	Archaea
37	0.2064134595677491	Spearman	code	Archaea
38	0.2549813324072195	Spearman	code	Archaea
39	0.2306973959874843	Spearman	code	Archaea
40	0.1092777138888083	Spearman	code	Archaea
41	0.2064134595677491	Spearman	code	Archaea
42	0.2549813324072195	Spearman	code	Archaea
43	0.2306973959874843	Spearman	code	Archaea
44	0.3168847171217566	Spearman	code	Archaea
45	0.1821295231480139	Spearman	code	Archaea
46	0.1578455867282787	Spearman	code	Archaea
47	0.3764010145058954	Spearman	code	Archaea
48	0.3035492052466899	Spearman	code	Archaea
49	0.4735367601848362	Spearman	code	Archaea
50	0.3278331416664251	Spearman	code	Archaea
51	0.1092777138888083	Spearman	code	Archaea
52	0.2792652688269547	Spearman	code	Archaea
53	0.1335616503085435	Spearman	code	Archaea
54	0.2792652688269547	Spearman	code	Archaea
55	0.5463885694440418	Spearman	code	Archaea
56	0.3278331416664251	Spearman	code	Archaea
57	0.3278331416664251	Spearman	code	Archaea
58	0.2308710485495118	Spearman	code	Archaea
59	0.2549813324072195	Spearman	code	Archaea
60	0.2549813324072195	Spearman	code	Archaea
61	0.1335616503085435	Spearman	code	Archaea
62	-0.0853798223509808	Spearman	code	Archaea
63	0.3403591903337869	Spearman	code	Archaea
64	0.3521170780861603	Spearman	code	Archaea
65	0.3521170780861603	Spearman	code	Archaea
66	0.1582028386075133	Spearman	code	Archaea
0	0.430514460129151	Spearman	freq	Archaea
1	0.5570018944325831	Spearman	freq	Archaea
2	0.503079467001639	Spearman	freq	Archaea
3	0.5737652893402667	Spearman	freq	Archaea
4	0.6682498788199388	Spearman	freq	Archaea
5	0.6926329986856606	Spearman	freq	Archaea
6	0.5989103817017923	Spearman	freq	Archaea
7	0.6552963463912741	Spearman	freq	Archaea
8	0.6598681813660968	Spearman	freq	Archaea
9	0.6354850615003751	Spearman	freq	Archaea
10	0.6758696037779769	Spearman	freq	Archaea
11	0.5318568020710573	Spearman	freq	Archaea
12	0.5836709317857162	Spearman	freq	Archaea
13	0.3255809509549672	Spearman	freq	Archaea
14	0.675107631282173	Spearman	freq	Archaea
15	0.5547159769451715	Spearman	freq	Archaea
16	0.5112835446843546	Spearman	freq	Archaea
17	0.6598681813660968	Spearman	freq	Archaea
18	0.7279574531688546	Spearman	freq	Archaea
19	0.5417624445165069	Spearman	freq	Archaea
20	0.5714793718528554	Spearman	freq	Archaea
21	0.6103399691388495	Spearman	freq	Archaea
22	0.7535907983499651	Spearman	freq	Archaea
23	0.7246358435094206	Spearman	freq	Archaea
24	0.6431047864584132	Spearman	freq	Archaea
25	0.7299696509800472	Spearman	freq	Archaea
26	0.6027202441808114	Spearman	freq	Archaea
27	0.5509061144661525	Spearman	freq	Archaea
28	0.6309132265255523	Spearman	freq	Archaea
29	0.3996358541958115	Spearman	freq	Archaea
30	0.6042441891724191	Spearman	freq	Archaea
31	0.477555334461034	Spearman	freq	Archaea
32	0.5753876798909582	Spearman	freq	Archaea
33	0.5630976743990134	Spearman	freq	Archaea
34	0.6377709789877865	Spearman	freq	Archaea
35	0.5661455643822286	Spearman	freq	Archaea
36	0.5303328570794497	Spearman	freq	Archaea
37	0.6507245114164513	Spearman	freq	Archaea
38	0.6331991440129637	Spearman	freq	Archaea
39	0.6263413915507294	Spearman	freq	Archaea
40	0.4328003776165624	Spearman	freq	Archaea
41	0.6537724013996665	Spearman	freq	Archaea
42	0.461755332457107	Spearman	freq	Archaea
43	0.6598681813660968	Spearman	freq	Archaea
44	0.3067061770957329	Spearman	freq	Archaea
45	0.6019582716850076	Spearman	freq	Archaea
46	0.5851948767773238	Spearman	freq	Archaea
47	0.7040625861227178	Spearman	freq	Archaea
48	0.6438667589542171	Spearman	freq	Archaea
49	0.7055865311143253	Spearman	freq	Archaea
50	0.6469146489374322	Spearman	freq	Archaea
51	0.5143314346675698	Spearman	freq	Archaea
52	0.6126258866262608	Spearman	freq	Archaea
53	0.5013779022389051	Spearman	freq	Archaea
54	0.6248174465591217	Spearman	freq	Archaea
55	0.6271033640465332	Spearman	freq	Archaea
56	0.6034822166766152	Spearman	freq	Archaea
57	0.6492005664248436	Spearman	freq	Archaea
58	0.5242504124044787	Spearman	freq	Archaea
59	0.6194836390884952	Spearman	freq	Archaea
60	0.5196652421381964	Spearman	freq	Archaea
61	0.454135607499069	Spearman	freq	Archaea
62	0.4527538579168486	Spearman	freq	Archaea
63	0.5931029061721639	Spearman	freq	Archaea
64	0.7078724486017368	Spearman	freq	Archaea
65	0.7177780910471863	Spearman	freq	Archaea
66	0.4895298205713	Spearman	freq	Archaea
0	0.1523804916696559	Kendall	code	Archaea
1	0.2539674861160931	Kendall	code	Archaea
2	0.2833796600411708	Kendall	code	Archaea
3	0.1930152894482307	Kendall	code	Archaea
4	0.3758718794518179	Kendall	code	Archaea
5	0.3758718794518179	Kendall	code	Archaea
6	0.2133326883375182	Kendall	code	Archaea
7	0.2742848850053805	Kendall	code	Archaea
8	0.2742848850053805	Kendall	code	Archaea
9	0.3758718794518179	Kendall	code	Archaea
10	0.3352370816732429	Kendall	code	Archaea
11	0.1930152894482307	Kendall	code	Archaea
12	0.2539674861160931	Kendall	code	Archaea
13	0.1242140188089073	Kendall	code	Archaea
14	0.294602283894668	Kendall	code	Archaea
15	0.1726978905589433	Kendall	code	Archaea
16	0.1726978905589433	Kendall	code	Archaea
17	0.3149196827839555	Kendall	code	Archaea
18	0.4176070930906296	Kendall	code	Archaea
19	0.1726978905589433	Kendall	code	Archaea
20	0.1523804916696559	Kendall	code	Archaea
21	0.2742848850053805	Kendall	code	Archaea
22	0.4165066772303927	Kendall	code	Archaea
23	0.3149196827839555	Kendall	code	Archaea
24	0.1930152894482307	Kendall	code	Archaea
25	0.294602283894668	Kendall	code	Archaea
26	0.2336500872268057	Kendall	code	Archaea
27	0.1726978905589433	Kendall	code	Archaea
28	0.2742848850053805	Kendall	code	Archaea
29	0.3010074300717744	Kendall	code	Archaea
30	0.1930152894482307	Kendall	code	Archaea
31	0.050927694279345	Kendall	code	Archaea
32	0.2393885975998372	Kendall	code	Archaea
33	0.1726978905589433	Kendall	code	Archaea
34	0.2336500872268057	Kendall	code	Archaea
35	0.1726978905589433	Kendall	code	Archaea
36	0.0914282950017935	Kendall	code	Archaea
37	0.1726978905589433	Kendall	code	Archaea
38	0.2133326883375182	Kendall	code	Archaea
39	0.1930152894482307	Kendall	code	Archaea
40	0.0914282950017935	Kendall	code	Archaea
41	0.1726978905589433	Kendall	code	Archaea
42	0.2133326883375182	Kendall	code	Archaea
43	0.1930152894482307	Kendall	code	Archaea
44	0.2698687304091769	Kendall	code	Archaea
45	0.1523804916696559	Kendall	code	Archaea
46	0.1320630927803684	Kendall	code	Archaea
47	0.3149196827839555	Kendall	code	Archaea
48	0.2539674861160931	Kendall	code	Archaea
49	0.3961892783411053	Kendall	code	Archaea
50	0.2742848850053805	Kendall	code	Archaea
51	0.0914282950017935	Kendall	code	Archaea
52	0.2336500872268057	Kendall	code	Archaea
53	0.1117456938910809	Kendall	code	Archaea
54	0.2336500872268057	Kendall	code	Archaea
55	0.4571414750089676	Kendall	code	Archaea
56	0.2742848850053805	Kendall	code	Archaea
57	0.2742848850053805	Kendall	code	Archaea
58	0.1940392504238459	Kendall	code	Archaea
59	0.2133326883375182	Kendall	code	Archaea
60	0.2133326883375182	Kendall	code	Archaea
61	0.1117456938910809	Kendall	code	Archaea
62	-0.0726569658793938	Kendall	code	Archaea
63	0.2867161392211493	Kendall	code	Archaea
64	0.294602283894668	Kendall	code	Archaea
65	0.294602283894668	Kendall	code	Archaea
66	0.133835831064538	Kendall	code	Archaea
0	0.311592335081808	Kendall	freq	Archaea
1	0.4006187165337532	Kendall	freq	Archaea
2	0.3794106119043646	Kendall	freq	Archaea
3	0.4562602049412189	Kendall	freq	Archaea
4	0.5007733956671915	Kendall	freq	Archaea
5	0.5007733956671915	Kendall	freq	Archaea
6	0.4340036095782326	Kendall	freq	Archaea
7	0.5341582887116709	Kendall	freq	Archaea
8	0.5119016933486846	Kendall	freq	Archaea
9	0.467388502622712	Kendall	freq	Archaea
10	0.5007733956671915	Kendall	freq	Archaea
11	0.3672338234892737	Kendall	freq	Archaea
12	0.4117470142152463	Kendall	freq	Archaea
13	0.2097740285183628	Kendall	freq	Archaea
14	0.5452865863931641	Kendall	freq	Archaea
15	0.4340036095782326	Kendall	freq	Archaea
16	0.38949041885226	Kendall	freq	Archaea
17	0.4896450979856983	Kendall	freq	Archaea
18	0.5969368849124157	Kendall	freq	Archaea
19	0.4340036095782326	Kendall	freq	Archaea
20	0.4340036095782326	Kendall	freq	Archaea
21	0.467388502622712	Kendall	freq	Archaea
22	0.5786714794376435	Kendall	freq	Archaea
23	0.5675431817561504	Kendall	freq	Archaea
24	0.4451319072597258	Kendall	freq	Archaea
25	0.5675431817561504	Kendall	freq	Archaea
26	0.4562602049412189	Kendall	freq	Archaea
27	0.4006187165337532	Kendall	freq	Archaea
28	0.5119016933486846	Kendall	freq	Archaea
29	0.2899412596819122	Kendall	freq	Archaea
30	0.4785168003042052	Kendall	freq	Archaea
31	0.3514675116774036	Kendall	freq	Archaea
32	0.4503636634035511	Kendall	freq	Archaea
33	0.4451319072597258	Kendall	freq	Archaea
34	0.4785168003042052	Kendall	freq	Archaea
35	0.4006187165337532	Kendall	freq	Archaea
36	0.4228753118967394	Kendall	freq	Archaea
37	0.4451319072597258	Kendall	freq	Archaea
38	0.467388502622712	Kendall	freq	Archaea
39	0.4228753118967394	Kendall	freq	Archaea
40	0.3227206327633011	Kendall	freq	Archaea
41	0.4562602049412189	Kendall	freq	Archaea
42	0.3227206327633011	Kendall	freq	Archaea
43	0.4562602049412189	Kendall	freq	Archaea
44	0.2160346640767189	Kendall	freq	Archaea
45	0.38949041885226	Kendall	freq	Archaea
46	0.4006187165337532	Kendall	freq	Archaea
