	code_spearman	code_p_spearman	code_kendall	code_p_kendall	gc_spearman	gc_p_spearman	gc_kendall	gc_p_kendall
EN	0.6302106601478266	5e-324	0.5023386042395562	5e-324	0.6276324775971791	5e-324	0.48122213231521727	5e-324
PTN	0.6901062872308193	5e-324	0.5577300712921225	5e-324	0.6849775210311947	5e-324	0.5326728071467881	5e-324
MN	0.6176427997070845	5e-324	0.4992490295155425	5e-324	0.6251048645829483	5e-324	0.4771205907058947	5e-324
EFM	0.6158073960610179	5e-324	0.49139352009078957	5e-324	0.6023357137289863	5e-324	0.46403762356766615	5e-324
AM	0.6232835724746121	5e-324	0.49768901043410513	5e-324	0.6050661753002852	5e-324	0.4613516186433071	5e-324
IM	0.6574954805698605	5e-324	0.5219094421048297	5e-324	0.6315065536590702	5e-324	0.4789460775786908	5e-324
YM	0.44368650659049763	2.1482447843269216e-256	0.34285801435530355	5.3549492695353584e-213	0.42165499278037977	5e-324	0.30873612088671754	1.4277931801543267e-171
AY	0.6853542118914796	5e-324	0.5519744114458522	5e-324	0.6773147565338907	5e-324	0.5252423085455106	5e-324
SGCode	0.6903701996762791	5e-324	0.5640407653100175	5e-324	0.6809661048308538	5e-324	0.5314236850762389	5e-324
BN	0.6939290040610802	5e-324	0.5585081389158078	5e-324	0.6772428785729446	5e-324	0.5148888347110884	5e-324
CDHN	0.6696158873691609	5e-324	0.5420293797814268	5e-324	0.6605774533997347	5e-324	0.5080661362102366	5e-324
AFM	0.5952492111663835	5e-324	0.470685997580953	5e-324	0.5763676420391471	5e-324	0.4413905701466356	5e-324
SOM	0.6927775275746891	5e-324	0.563442741440445	5e-324	0.6829376540322957	5e-324	0.5363975284349787	5e-324
KN	0.6037604532243265	5e-324	0.48255967891876256	5e-324	0.6298288217423812	5e-324	0.47728945427259456	5e-324
CMUT	0.6786180749609627	5e-324	0.5418628362281638	5e-324	0.6661068714888837	5e-324	0.5120762027367657	5e-324
CN	0.6037604532243265	5e-324	0.48255967891876256	5e-324	0.6520361959507243	5e-324	0.4966895412028438	5e-324
RM	0.6836795929596302	5e-324	0.543903446004075	5e-324	0.6782245947093479	5e-324	0.5192391230848429	5e-324
VM	0.6501137734190329	5e-324	0.539172744557394	5e-324	0.6114110220407221	5e-324	0.47367479889866176	5e-324
CM	0.6981174648017652	5e-324	0.5709273727448355	5e-324	0.6864952574371299	5e-324	0.5392606113347385	5e-324
BAPP	0.6903701996762791	5e-324	0.5640407653100175	5e-324	0.6809661048308538	5e-324	0.5314236850762389	5e-324
CDSG	0.6917694770152084	5e-324	0.5612340923388266	5e-324	0.6855000539820393	5e-324	0.5322101782589863	5e-324
TrM	0.569542042814985	5e-324	0.4559885909296945	5e-324	0.5479717909553132	5e-324	0.4131743528065618	5e-324
PN	0.7241709590819339	5e-324	0.5926126779543649	5e-324	0.7132806787382707	5e-324	0.5545443284849036	5e-324
MPCMMS	0.6528598262640195	5e-324	0.5253194177079087	5e-324	0.636533432524406	5e-324	0.4876825562930279	5e-324
TM	0.6806778773887376	5e-324	0.5486919412461474	5e-324	0.6744064394479607	5e-324	0.5222473432221341	5e-324
